cited_by_count,country_code,display_name,h_index,id,works_api_url,works_count
16904.0,CH,Matthias Kliegel,70.0,https://openalex.org/A5077659457,https://api.openalex.org/works?filter=author.id:A5077659457,559.0
245.0,DE,Sebastian P. Bayerl,9.0,https://openalex.org/A5070508803,https://api.openalex.org/works?filter=author.id:A5070508803,66.0
3753.0,IN,Hamsa Balakrishnan,33.0,https://openalex.org/A5039967363,https://api.openalex.org/works?filter=author.id:A5039967363,172.0
732.0,CN,Chris Yang,9.0,https://openalex.org/A5103438511,https://api.openalex.org/works?filter=author.id:A5103438511,39.0
4231.0,NL,Simon van Gaal,35.0,https://openalex.org/A5005327084,https://api.openalex.org/works?filter=author.id:A5005327084,159.0
2647.0,DE,Michael Kölch,25.0,https://openalex.org/A5088214753,https://api.openalex.org/works?filter=author.id:A5088214753,323.0
2207.0,US,Siddhartha Sen,24.0,https://openalex.org/A5049055278,https://api.openalex.org/works?filter=author.id:A5049055278,169.0
2254.0,IT,Juan Carlos De Martin,21.0,https://openalex.org/A5029783497,https://api.openalex.org/works?filter=author.id:A5029783497,147.0
293.0,AT,Matthias Raddant,8.0,https://openalex.org/A5057096489,https://api.openalex.org/works?filter=author.id:A5057096489,36.0
5933.0,NZ,David K. Bilkey,48.0,https://openalex.org/A5080599696,https://api.openalex.org/works?filter=author.id:A5080599696,174.0
30.0,CA,Saoussan Askar,1.0,https://openalex.org/A5033685732,https://api.openalex.org/works?filter=author.id:A5033685732,1.0
3654.0,GB,Alison Fildes,35.0,https://openalex.org/A5012617613,https://api.openalex.org/works?filter=author.id:A5012617613,114.0
1265.0,AU,Timothy Graham,16.0,https://openalex.org/A5013505838,https://api.openalex.org/works?filter=author.id:A5013505838,151.0
213.0,CN,Yuchong Sun,6.0,https://openalex.org/A5100848615,https://api.openalex.org/works?filter=author.id:A5100848615,25.0
8728.0,US,Manju Ahuja,31.0,https://openalex.org/A5018408477,https://api.openalex.org/works?filter=author.id:A5018408477,134.0
2585.0,CN,Xiaoran Yan,24.0,https://openalex.org/A5026380797,https://api.openalex.org/works?filter=author.id:A5026380797,112.0
11656.0,IE,Nathan Eagle,37.0,https://openalex.org/A5111940488,https://api.openalex.org/works?filter=author.id:A5111940488,93.0
1593.0,FI,Markus Ojala,16.0,https://openalex.org/A5059585472,https://api.openalex.org/works?filter=author.id:A5059585472,64.0
2116.0,US,Amy Pienta,21.0,https://openalex.org/A5066507823,https://api.openalex.org/works?filter=author.id:A5066507823,64.0
2056.0,US,Aneesh Sharma,15.0,https://openalex.org/A5101979342,https://api.openalex.org/works?filter=author.id:A5101979342,60.0
3870.0,GB,Rachel Carey,25.0,https://openalex.org/A5101841217,https://api.openalex.org/works?filter=author.id:A5101841217,59.0
1194.0,US,Nikolas Zolas,15.0,https://openalex.org/A5075173273,https://api.openalex.org/works?filter=author.id:A5075173273,45.0
1262.0,GR,Eleftherios Spyromitros-Xioufis,13.0,https://openalex.org/A5009239738,https://api.openalex.org/works?filter=author.id:A5009239738,32.0
4202.0,US,Michael J. Prietula,28.0,https://openalex.org/A5022083470,https://api.openalex.org/works?filter=author.id:A5022083470,121.0
10447.0,PT,Bruno Gonçalves,35.0,https://openalex.org/A5039841997,https://api.openalex.org/works?filter=author.id:A5039841997,116.0
111.0,DE,Thomas Niebler,6.0,https://openalex.org/A5042176198,https://api.openalex.org/works?filter=author.id:A5042176198,22.0
1827.0,NL,Katrijn Van Deun,20.0,https://openalex.org/A5091274668,https://api.openalex.org/works?filter=author.id:A5091274668,98.0
1178.0,US,Nikola Sander,14.0,https://openalex.org/A5030737529,https://api.openalex.org/works?filter=author.id:A5030737529,52.0
678.0,CN,H. S. Song,11.0,https://openalex.org/A5078477122,https://api.openalex.org/works?filter=author.id:A5078477122,45.0
296.0,US,Hongyao Ma,9.0,https://openalex.org/A5000522111,https://api.openalex.org/works?filter=author.id:A5000522111,34.0
183.0,US,Christian Flores,7.0,https://openalex.org/A5027418162,https://api.openalex.org/works?filter=author.id:A5027418162,33.0
168.0,BR,Moser Silva Fagundes,8.0,https://openalex.org/A5091130884,https://api.openalex.org/works?filter=author.id:A5091130884,30.0
1407.0,US,Push Singh,14.0,https://openalex.org/A5109038924,https://api.openalex.org/works?filter=author.id:A5109038924,23.0
126.0,US,Naroa Coretti Sánchez,5.0,https://openalex.org/A5056233590,https://api.openalex.org/works?filter=author.id:A5056233590,20.0
650.0,CN,Chao Fang,15.0,https://openalex.org/A5062252654,https://api.openalex.org/works?filter=author.id:A5062252654,84.0
