author_id,community,degree
https://openalex.org/A5060507302,2,11
https://openalex.org/A5035916726,2,3
https://openalex.org/A5101417731,2,4
https://openalex.org/A5015542293,2,5
https://openalex.org/A5058810080,2,6
https://openalex.org/A5012739121,2,8
https://openalex.org/A5000465232,2,4
https://openalex.org/A5048966126,2,18
https://openalex.org/A5052381671,2,8
https://openalex.org/A5112828680,2,2
https://openalex.org/A5061810530,2,39
https://openalex.org/A5104045637,2,6
https://openalex.org/A5083126896,2,13
https://openalex.org/A5044885352,2,4
https://openalex.org/A5070645731,2,5
https://openalex.org/A5074732252,2,4
https://openalex.org/A5112456364,2,5
https://openalex.org/A5019843700,2,5
https://openalex.org/A5008334059,2,1
https://openalex.org/A5043326652,2,15
https://openalex.org/A5076947945,2,5
https://openalex.org/A5009166220,2,5
https://openalex.org/A5077958415,2,3
https://openalex.org/A5109352872,2,18
https://openalex.org/A5037250136,2,4
https://openalex.org/A5010766332,2,4
https://openalex.org/A5101894055,2,8
https://openalex.org/A5089150978,2,4
https://openalex.org/A5011745729,2,16
https://openalex.org/A5088030879,2,5
https://openalex.org/A5077046319,2,3
https://openalex.org/A5049777833,2,3
https://openalex.org/A5006363280,2,2
https://openalex.org/A5015763173,2,6
https://openalex.org/A5112442974,2,2
https://openalex.org/A5019875643,2,6
https://openalex.org/A5087586854,2,6
https://openalex.org/A5014548243,2,7
https://openalex.org/A5018128415,2,18
https://openalex.org/A5008840028,2,4
https://openalex.org/A5000967524,2,6
https://openalex.org/A5029299663,2,5
https://openalex.org/A5089207342,2,6
https://openalex.org/A5037819162,2,3
https://openalex.org/A5050071326,2,2
https://openalex.org/A5081763922,2,4
https://openalex.org/A5000892313,2,3
https://openalex.org/A5083261987,2,3
https://openalex.org/A5069120214,2,9
https://openalex.org/A5106697460,2,5
https://openalex.org/A5037473201,2,7
https://openalex.org/A5007088227,2,4
https://openalex.org/A5019049697,2,3
https://openalex.org/A5007187227,2,13
https://openalex.org/A5023882015,2,5
https://openalex.org/A5017184023,2,10
https://openalex.org/A5064307334,2,8
https://openalex.org/A5070147321,2,12
https://openalex.org/A5013606826,2,6
https://openalex.org/A5069107397,2,5
https://openalex.org/A5081289583,2,5
https://openalex.org/A5004662840,2,3
https://openalex.org/A5064525211,2,6
https://openalex.org/A5052639125,2,3
https://openalex.org/A5102803437,2,3
https://openalex.org/A5086152924,2,5
https://openalex.org/A5037735812,2,19
https://openalex.org/A5038581727,2,4
https://openalex.org/A5009871674,2,5
https://openalex.org/A5015855466,2,4
https://openalex.org/A5018676187,2,4
https://openalex.org/A5024995101,2,6
https://openalex.org/A5086101517,2,3
https://openalex.org/A5028928899,2,12
https://openalex.org/A5014260231,2,3
https://openalex.org/A5049587610,2,13
https://openalex.org/A5060883307,2,2
https://openalex.org/A5072672803,2,3
https://openalex.org/A5068514720,2,4
https://openalex.org/A5054624773,2,11
https://openalex.org/A5087941663,2,9
https://openalex.org/A5100673750,2,3
https://openalex.org/A5047735536,2,4
https://openalex.org/A5083581537,2,4
https://openalex.org/A5047387491,2,4
https://openalex.org/A5025919676,2,11
https://openalex.org/A5092142318,2,2
https://openalex.org/A5105927123,2,3
