author_id,display_name,works_api_url,h_index,works_count,country_code
A5080988332,Arkadiusz Lipiecki,https://api.openalex.org/works?filter=author.id:A5080988332,3.0,14.0,
A5040957572,Sebastian Stier,https://api.openalex.org/works?filter=author.id:A5040957572,27.0,118.0,
A5091770864,Anna De Simoni,https://api.openalex.org/works?filter=author.id:A5091770864,24.0,101.0,GB
A5126820537,Tom Bidewell,https://api.openalex.org/works?filter=author.id:A5126820537,0.0,1.0,
A5072573663,Johannes Stroebel,https://api.openalex.org/works?filter=author.id:A5072573663,47.0,175.0,US
A5069676139,Yusuke Miyake,https://api.openalex.org/works?filter=author.id:A5069676139,12.0,78.0,JP
A5061914240,Inga Schwabe,https://api.openalex.org/works?filter=author.id:A5061914240,11.0,41.0,
A5065295188,Yang Tian,https://api.openalex.org/works?filter=author.id:A5065295188,69.0,494.0,CN
A5069952976,Moritz Laber,https://api.openalex.org/works?filter=author.id:A5069952976,1.0,4.0,US
A5036476234,Sheng Ma,https://api.openalex.org/works?filter=author.id:A5036476234,23.0,72.0,CN
A5123681003,Valeria Rainero,https://api.openalex.org/works?filter=author.id:A5123681003,0.0,1.0,
A5008536718,K.K. Mei,https://api.openalex.org/works?filter=author.id:A5008536718,26.0,170.0,CN
A5065023939,Holly Zhou,https://api.openalex.org/works?filter=author.id:A5065023939,21.0,53.0,CN
A5004333240,Tahmineh Godazgar,https://api.openalex.org/works?filter=author.id:A5004333240,1.0,2.0,
A5033716467,Edmond Awad,https://api.openalex.org/works?filter=author.id:A5033716467,17.0,74.0,GB
A5111341494,Julia De Miguel Velázquez,https://api.openalex.org/works?filter=author.id:A5111341494,1.0,3.0,GB
A5068182184,Andrea Baronchelli,https://api.openalex.org/works?filter=author.id:A5068182184,46.0,256.0,GB
A5086908160,Gert Stulp,https://api.openalex.org/works?filter=author.id:A5086908160,30.0,120.0,NL
A5083550860,Vera Sosnovik,https://api.openalex.org/works?filter=author.id:A5083550860,2.0,7.0,
A5058144931,Rossana Mastrandrea,https://api.openalex.org/works?filter=author.id:A5058144931,13.0,47.0,
A5069884896,Solomon Messing,https://api.openalex.org/works?filter=author.id:A5069884896,22.0,114.0,US
A5032431129,Pedro Ramaciotti Morales,https://api.openalex.org/works?filter=author.id:A5032431129,9.0,79.0,FR
A5082742221,Margaret E. Roberts,https://api.openalex.org/works?filter=author.id:A5082742221,38.0,208.0,US
A5059223686,Riccardo Gallotti,https://api.openalex.org/works?filter=author.id:A5059223686,21.0,89.0,IT
A5059236838,Yong‐Yeol Ahn,https://api.openalex.org/works?filter=author.id:A5059236838,41.0,234.0,US
A5066615785,Guido Germano,https://api.openalex.org/works?filter=author.id:A5066615785,86.0,481.0,GB
A5038520407,Tabia Tanzin Prama,https://api.openalex.org/works?filter=author.id:A5038520407,4.0,21.0,US
A5056878670,Iakovos Evdaimon,https://api.openalex.org/works?filter=author.id:A5056878670,2.0,10.0,FR
A5037146201,Rense Corten,https://api.openalex.org/works?filter=author.id:A5037146201,21.0,101.0,NL
A5064296964,Abdullah Almaatouq,https://api.openalex.org/works?filter=author.id:A5064296964,17.0,101.0,
A5048966126,Peter Selb,https://api.openalex.org/works?filter=author.id:A5048966126,20.0,93.0,DE
A5027019842,Lorenzo Lucchini,https://api.openalex.org/works?filter=author.id:A5027019842,8.0,38.0,
