,id,publication_year,cited_by_count,author_ids
55,https://openalex.org/W2790854217,2019.0,103,"['A5008115861', 'A5044898565', 'A5024505700', 'A5044033087']"
56,https://openalex.org/W1571176688,2015.0,101,"['A5000683102', 'A5071165387', 'A5014088619']"
57,https://openalex.org/W2016241164,2011.0,100,"['A5014088619', 'A5071165387']"
58,https://openalex.org/W2141277304,2014.0,97,"['A5058212934', 'A5111222692', 'A5088517824']"
59,https://openalex.org/W2052138360,2014.0,96,"['A5021836148', 'A5051455237', 'A5003777693', 'A5044898565', 'A5024505700']"
60,https://openalex.org/W2898706124,2018.0,96,"['A5084955495', 'A5061923992', 'A5014283670', 'A5083126896', 'A5084677225', 'A5044849571']"
61,https://openalex.org/W2782151388,2018.0,95,"['A5076594501', 'A5021797990', 'A5032942801', 'A5024705099', 'A5078719120', 'A5006932859']"
62,https://openalex.org/W3138682039,2021.0,94,"['A5071165387', 'A5016057473', 'A5090030525', 'A5023753116', 'A5067567133']"
63,https://openalex.org/W3176348367,2021.0,94,"['A5071165387', 'A5052099873', 'A5090030525', 'A5004774200', 'A5038390320', 'A5016057473', 'A5038488889', 'A5067567133', 'A5023753116']"
64,https://openalex.org/W2187648190,2015.0,88,"['A5059674609', 'A5024505700', 'A5068819495', 'A5044898565', 'A5070929859']"
65,https://openalex.org/W2921402195,2019.0,86,"['A5000683102', 'A5101809319', 'A5071165387', 'A5024018027']"
66,https://openalex.org/W2942291402,2019.0,84,"['A5079841024', 'A5079452617']"
67,https://openalex.org/W3206050115,2021.0,82,"['A5061160911', 'A5002981651', 'A5024505700', 'A5039916323', 'A5056226566', 'A5051851888', 'A5004099218', 'A5044898565', 'A5035070413']"
68,https://openalex.org/W2800048244,2018.0,81,"['A5071165387', 'A5016057473', 'A5057803453']"
69,https://openalex.org/W3092721307,2021.0,81,"['A5043346142', 'A5079452617', 'A5050318092']"
70,https://openalex.org/W2114532600,2014.0,76,"['A5036998377', 'A5002595735', 'A5024505700', 'A5044898565']"
